site,safra,depth,PH_CACL2,PH_AGUA,MO_GDM3,P_meh_MG_DM3,P_res_MG_DM3,K_MG_DM3,CA_CMOLCDM3,MG_CMOLCDM3,AL_CMOLCDM3,H_Al_CMOLCDM3,SOM_BASES,CTC,SAT_BASES,S_MG_DM3,ZN_MG_DM3,B_MG_DM3,CU_MG_DM3,MN_MG_DM3,FE_MG_DM3,REL_CAMG,SATPOR_K,SATPOR_CA,SATPOR_MG,SATPOR_H,SATDE_AL,ARGILA
dourados,2016-2017,20-40,4.4,5.4,36,11.66,52.88,0.68,6.75,0.4,0.4,7.38,4.12,13.45,39.23,2,0.5,0.39,13.4,61,18,23.5,6.5,34.28,2.7,72.7,18.46,70
antôniojoão,2016-2017,00-20,4.9,5.5,32,16.6,52.88,0.37,4.9,1.9,0.1,6.1,7.1,13.2,54,11,0.2,0.2,4.9,6.9,58,2.6,1.16,36.11,17.91,50.75,0,30.9
antôniojoão,2016-2017,20-40,4.3,4.9,22,1.2,11.67,0.12,2.3,1.3,0.9,5.8,3.7,9.5,39,58,0.84,0.21,10.25,79.92,67,2.9,5.15,18,13.88,39.5,12.1,64
sidrolândia,2016-2017,00-20,5.26,5.86,36.62,31.28,52.88,0.34,4.95,1.6,0,7.1,6.89,13.99,49.25,19.3,4.56,0.44,10.7,95.75,28.72,3.09,2.43,35.38,11.44,50.75,0,47
sidrolândia,2016-2017,20-40,5.04,5.65,28.12,1.4,32.76,0.1,2.75,1.1,0,6.15,3.95,10.1,39.11,48.4,2.5,0.27,8.5,186,58.3,2.5,0.99,27.23,10.89,60.89,0,50.3
campograndeembrapa,2016-2017,00-20,5.8,6.4,33,1.2,52.88,0.18,3,1.5,0,3,4.7,7.6,61,40,3.4,0.3,5.9,70.1,40,2,0.7,46.82,12.5,39.81,0,54.7
campograndeembrapa,2016-2017,20-40,5.3,5.9,24,0.4,52.88,0.14,1.2,0.8,0,3.4,2.1,5.5,39,73,0.3,0.22,6.2,29.1,41,1.4,1.1,24.96,12.5,63.47,0,64
bonito,2016-2017,00-20,4.8,5.6,39,32,52.88,0.3,6.6,2.2,0,4.5,9.1,13.6,67,7,1.2,0.24,1.5,22.9,26,3,2.9,52.58,9.3,31.2,0.66,34.7
bonito,2016-2017,20-40,5.3,5.9,31,11,52.88,0.11,6.8,2,0,3.2,8.9,12.1,73,26,0.6,0.15,1.2,10.8,11,3.4,3.19,56.7,9.91,29.31,0,52.2
anaurilândiaabertura,2017-2018,00-20,5.7,6.3,22.5,9.3,52.88,0.04,3.3,0.9,0,2.4,4.2,6.6,64,4.7,0.7,0.35,0.4,14.8,77.8,3.7,0.7,50,13.4,36,0,30.8
anaurilândiaabertura,2017-2018,20-40,4.4,5.2,14.6,0.6,52.88,0.06,0.8,0.2,0.8,4.2,1,5.2,19,15.7,0.5,0.39,0.2,9.5,96.8,4.2,1.1,14.5,3.5,65,16,35.5
anaurilândiaconsolidado,2017-2018,00-20,4.7,5.4,23.3,9.5,52.88,0.07,2.2,0.4,0.3,4.5,2.7,7.2,37.1,4.9,2,0.54,0.3,17.9,50.2,5,1,30.1,6.1,58.7,3.8,30.9
anaurilândiaconsolidado,2017-2018,20-40,4.2,5,14.6,1.1,52.88,0.05,0.8,0.2,0.8,5.4,1,6.3,15.4,7,0.6,0.46,0.2,7.8,81.4,4.4,0.7,11.9,2.7,72.5,12.1,37.9
douradossiloscopasul,2017-2018,00-20,4.9,5.7,27.3,13.1,52.88,0.18,4.6,1,0,4.2,5.8,10,58.1,5,4,0.27,10.2,85.9,74.2,4.4,1.8,45.8,10.5,42,0,60.3
douradossiloscopasul,2017-2018,20-40,5.1,5.8,17.1,1.3,52.88,0.09,4.3,0.8,0,3.3,5.2,8.5,61,8.5,0.9,0.21,9.6,61,89.1,5.5,1.1,50.6,9.3,39,0,60.2
ivinhema,2017-2018,00-20,5,5.7,21.5,32.2,11.67,0.15,2.7,0.5,0.1,3.3,3.3,6.6,50.1,4.8,1.8,0.47,0.4,37.3,45.7,4.9,2.2,39.8,8,47.8,1.7,25.4
ivinhema,2017-2018,20-40,4.4,5.2,9.1,1.8,52.88,0.06,1,0.2,0.7,4.1,1.2,5.3,23.3,8.6,0.5,0.41,0.7,18,78.2,4.4,1.2,18,4.1,64.5,12.2,29.1
maracaju,2017-2018,00-20,5.4,6.1,32.5,9.8,11.67,0.35,7.6,1.7,0,3.7,9.6,13.4,72.2,8.9,1.7,0.62,5.8,127.4,20.7,4.4,2.6,56.7,12.9,27.7,0,48.9
maracaju,2017-2018,20-40,5.4,6.1,19.1,0.4,52.88,0.11,5.5,1.2,0,3.1,6.9,10,68.8,14.7,0.5,0.21,5.4,65.7,21.2,4.5,1.1,55.3,12.4,31.2,0,54.9
naviraí,2017-2018,00-20,5,5.7,12.4,17.2,52.88,0.06,2,0.3,0.2,2.4,2.4,4.7,46.6,6,1.7,0.26,0.4,35.3,33,7.5,1.2,40.1,5.3,45.6,4.7,16.2
naviraí,2017-2018,20-40,4.4,5.2,12.6,28.2,11.67,0.05,1.1,0.2,0.3,3.5,1.3,4.8,27.8,4.4,1.6,0.39,0.4,35.7,35.3,6.3,1.1,23,3.6,66.8,5.4,15.8
riobrilhante,2017-2018,00-20,5.2,5.9,27.7,11.8,3.8,0.41,4.3,1.3,0,3.9,6,9.8,60.6,7.6,3.5,0.22,8.5,110.4,58.3,11.5,4.1,43.6,13,39.3,0,59.5
riobrilhante,2017-2018,20-40,5.3,6,18.9,1.2,52.88,0.13,3.1,1,0,3.3,4.2,7.5,55.5,29.4,1.5,0.09,8.3,71.3,76.2,23.5,1.7,41,12.8,44.5,0,61.3
