id,material,harvest,site,productivity,species
431,cd 219 rr,2009,caarapó,32.6,soy
432,brasmax potência rr,2009,caarapó,68.8,soy
433,vmax rr,2009,caarapó,67.6,soy
434,brs 239,2009,caarapó,65.4,soy
435,brs 284,2009,caarapó,64.9,soy
436,cd 202,2009,caarapó,64.5,soy
437,brs charrua rr,2009,caarapó,64.5,soy
438,brs 283,2009,caarapó,63.9,soy
439,brs 245 rr,2009,caarapó,63.3,soy
440,vmax,2009,caarapó,63.1,soy
441,brs 282,2009,caarapó,62.7,soy
442,brs 268,2009,caarapó,61.6,soy
443,brs 246 rr,2009,caarapó,60.6,soy
444,brs 232,2009,caarapó,56.5,soy
445,brs favorita rr,2009,caarapó,55.6,soy
446,m-soy 8001,2009,caarapó,53.3,soy
447,fts campo mourão rr,2009,caarapó,51.4,soy
448,cd 225 rr,2009,caarapó,49.6,soy
449,cd 219 rr,2009,caarapó,48.3,soy
450,brasmax potência rr,2009,caarapó,43.5,soy
451,brs 283,2009,caarapó,43.4,soy
452,brs 284,2009,caarapó,42.1,soy
453,brs 246 rr,2009,caarapó,40.7,soy
454,vmax,2009,caarapó,38.9,soy
455,brs 245 rr,2009,caarapó,37.8,soy
456,brs 239,2009,caarapó,36.4,soy
457,brs favorita rr,2009,caarapó,36.2,soy
458,m-soy 8001,2009,caarapó,33.1,soy
459,cd 219 rr,2009,caarapó,30.6,soy
460,brs 282,2009,caarapó,29.9,soy
461,fts campo mourão rr,2009,caarapó,27.8,soy
462,brs 232,2009,caarapó,26.5,soy
463,cd 225 rr,2009,caarapó,25.3,soy
464,brasmax potência rr,2009,dourados,74.3,soy
465,na 4990 rr,2009,dourados,72.8,soy
466,na 5909 rg,2009,dourados,68.7,soy
467,brs 284,2009,dourados,68.2,soy
468,roos avance rr,2009,dourados,68.1,soy
469,na 6086 rr,2009,dourados,68.0,soy
470,brs 245 rr,2009,dourados,67.9,soy
471,fts 1156 rr cafelândia,2009,dourados,62.4,soy
472,brs 246 rr,2009,dourados,61.3,soy
473,fts campo mourão rr,2009,dourados,61.0,soy
474,brs 282,2009,dourados,60.5,soy
475,brasmax força rr,2009,dourados,58.9,soy
476,cd 241 rr,2009,dourados,58.5,soy
477,vmax rr,2009,dourados,57.5,soy
478,m-soy 8001,2009,dourados,57.3,soy
479,brs 239,2009,dourados,56.7,soy
480,cd 202,2009,dourados,56.2,soy
481,cd 225 rr,2009,dourados,55.7,soy
482,vmax,2009,dourados,55.6,soy
483,brs favorita rr,2009,dourados,55.6,soy
484,m-soy 7211 rr,2009,dourados,54.9,soy
485,na 6411 rr,2009,dourados,54.0,soy
486,cd 219 rr,2009,dourados,53.0,soy
487,brs 283,2009,dourados,52.0,soy
488,fps netuno rr,2009,dourados,45.7,soy
489,brs 232,2009,dourados,43.4,soy
490,vmax rr,2009,dourados,76.2,soy
491,brs 246 rr,2009,dourados,75.1,soy
492,brs 245 rr,2009,dourados,75.0,soy
493,fps júpiter rr,2009,dourados,72.8,soy
494,brasmax turbo rr,2009,dourados,72.7,soy
495,brs 282,2009,dourados,72.7,soy
496,tmg 3003 rr,2009,dourados,71.2,soy
497,m-soy 7639 rr,2009,dourados,71.0,soy
498,igra 728 rr,2009,dourados,70.7,soy
499,na 4990 rr,2009,dourados,70.6,soy
500,igra 626 rr,2009,dourados,69.4,soy
501,igra 518 rr,2009,dourados,69.0,soy
502,fps netuno rr,2009,dourados,68.4,soy
503,na 7255 rr,2009,dourados,68.0,soy
504,m6707 rr,2009,dourados,67.4,soy
505,brasmax potência rr,2009,dourados,67.0,soy
506,brs 232,2009,dourados,66.7,soy
507,brs favorita rr,2009,dourados,66.5,soy
508,5d711 rr,2009,dourados,66.3,soy
509,brs 268,2009,dourados,66.3,soy
510,vmax,2009,dourados,66.3,soy
511,cd 237 rr,2009,dourados,65.9,soy
512,na 6411 rr,2009,dourados,65.7,soy
513,m-soy 8001,2009,dourados,65.6,soy
514,5d688 rr,2009,dourados,65.5,soy
515,cd 234 rr,2009,dourados,65.5,soy
516,cd 231 rr,2009,dourados,65.5,soy
517,tmg 1066 rr,2009,dourados,64.9,soy
518,igra 628 rr,2009,dourados,64.8,soy
