date,Amambaí,Anaurilandia,Campo_Grande,Dourados,Ivinhema,Maracaju,Rio_Brilhante,São_Gabriel_do_Oeste,Sidrolândia
2008-12-23,0.0,,2.4,0.0,0.0,0.0,0.0,0.0,0.2
2008-12-24,0.4,,0.0,0.0,0.2,0.6,5.0,0.4,17.4
2008-12-25,5.0,,4.8,0.0,0.0,0.0,14.0,0.0,1.2
2008-12-26,0.0,,36.8,0.0,0.0,0.0,0.0,17.4,11.6
2008-12-27,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-29,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-30,0.0,,2.4,0.0,0.0,0.0,0.0,5.4,21.4
2008-12-31,3.6,,7.6,0.6,5.6,36.2,14.0,2.0,27.0
2009-01-01,1.8,,20.4,7.6,20.2,2.4,1.2,4.6,2.8
2009-01-02,30.2,,11.8,17.8,4.6,3.0,0.8,0.0,2.2
2009-01-03,10.4,,34.6,22.4,19.0,26.8,67.0,33.8,44.0
2009-01-04,0.0,65.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0
2009-01-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-09,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-10,4.2,,0.6,17.8,32.4,0.2,0.4,2.0,0.6
2009-01-11,0.4,,0.2,24.2,7.6,0.2,0.0,4.2,0.0
2009-01-12,0.0,,0.0,0.0,0.0,13.8,0.0,0.0,0.0
2009-01-13,7.2,,0.0,0.0,48.4,0.2,0.0,0.0,0.0
2009-01-14,8.8,,0.0,7.6,1.4,0.0,0.0,0.0,0.0
